Weapon,Weapon Class,BTK at 0,BTK at 20,BTK at 35,BTK at 75,RPM,fire interval ms,"Velocity, ms","TTK at 0 m, ms","TTK at 20 m, ms","TTK at 35 m, ms","TTK at 75 m, ms",Burst Hits,Burst Accuracy Coefficient,CQB Accuracy Coefficient,Long Range Accuracy Coefficient,20 m Power Score,21 m Power Score,35 m Power Score,75 m Power Score,practical lethality coefficient,,Explanations of metrics:,,,
M240L,LMG,3,3,4,4,600,100,630,200,232,356,419,2.82,0.94,0.97,0.91,238,365,378,460,,,"Burst Accuracy Coefficient - Reflects the ratio between Bullets To Kill and Average Burst Hits.
Not 100% scientifically accurate but has good qualities as an indicator, such as horizontal recoil being more punishing to accuracy than vertical, as well as maintaining the relationship between a weapon's recoil and damage per shot.",,,"Burst Hits - Average from 11 uncompensated bursts on a  target at 20 meters. 

Cannot score more hits than the weapon's BTK. I don't see it as a problem as it reflects the reality that excess accuracy is wasted."
TR-7,AR,3,3,4,4,720,83,648,167,198,304,366,1.81,0.60,0.78,0.47,253,389,504,780,0.327,,,,,
M123K,LMG,4,4,5,5,830,72,670,217,247,341,401,3.54,0.89,0.95,0.83,261,361,386,482,0.279,,,,,
M/60,LMG,3,3,4,4,514,117,720,233,261,399,454,3.00,1.00,1.00,1.00,261,399,399,454,0.261,,,,,
DRS-IAR,LMG,4,4,5,5,771,78,720,233,261,360,415,3.63,0.91,0.96,0.86,273,376,397,481,0.288,,"CQB Accuracy Coefficient - Logarithmically adjusted accuracy coefficient for estimating close range accuracy. The logarithmic scaling reflects the fact that you are shooting larger targets and are generally compensating for recoil fairly well. A higher accuracy is wasted, and a poor accuracy is not as punishing.",,,"20 m Power Score - 20 meter TTK adjusted with the CQB accuracy coefficient. It is the author's opinion that this is one of the most important metrics for automatic weapons.

Important! These Power Scores are arbitrary values, not an average TTK in milliseconds. These are not an accurate representation of the average lethality - they are more of an aid for comprehension, made up arbitrarily. A more accurate metric could be possible but would require complicated, rigorous testing and much more data."
AK4D,AR,3,3,4,4,514,117,720,233,261,399,454,2.63,0.88,0.94,0.82,277,423,455,554,0.298,,,,,
L110,LMG,4,4,5,5,720,83,780,250,276,378,429,3.72,0.93,0.97,0.90,285,391,407,479,0.296,,,,,
B36A4,AR,4,4,5,5,720,83,780,250,276,378,429,3.63,0.91,0.96,0.86,288,395,417,497,0.304,,,,,
SCW-10,SMG,3,4,5,6,800,75,428,150,272,382,550,3.36,0.84,0.92,0.77,294,413,454,715,0.323,,Long Range Accuracy Coefficient - Accuracy coefficient adjusted with a mild exponent (power of 1.5) that emphasises the effects of poor accuracy in long range shooting. Take it with a large grain of salt - it's not based on real testing shooting at long ranged targets. The largest discrepancy from real performance will be on guns that have a low BTK.,,,
KV9,SMG,4,5,6,7,1080,56,348,167,280,378,549,4.27,0.85,0.93,0.79,300,406,443,695,0.328,,,,,
M250,LMG,4,4,4,4,675,89,760,267,293,313,365,3.54,0.89,0.95,0.83,309,330,353,439,0.331,,,,,
L85A3,AR,4,4,5,5,635,94,814,283,308,421,470,3.63,0.91,0.96,0.86,322,439,464,544,0.339,,,,,"21 m Power Score - This seemingly odd metric was chosen due to the author's anecdotal experience of many critical firefights happening at ranges between 20 and 30 meters. This is the TTK at 35 m value adjusted by the CQB accuracy coefficient.
This was mostly chosen to show the jump in effectiveness of slow shooting, hard hitting guns like the AK4D and the TR-7 as they leave the 3 BTK range."
NVO-228E,AR,3,4,5,5,654,92,671,183,305,419,479,3.54,0.89,0.95,0.83,322,443,474,575,0.345,,,,,
M433,AR,4,4,5,5,830,72,670,217,247,341,401,2.27,0.57,0.75,0.43,327,453,602,938,0.435,,,,,
SG 53R,CRB,3,4,5,6,720,83,519,167,289,401,561,3.00,0.75,0.88,0.65,330,458,534,864,0.385,,,,,
SOR-556 MK2,AR,4,4,5,5,568,106,800,317,342,466,516,4.00,1.00,1.00,1.00,342,466,466,516,0.342,,,,,
KORD 6P67,AR,5,5,6,6,900,67,760,267,293,379,432,3.54,0.71,0.85,0.60,345,446,536,725,0.414,,,,,"35 m Power Score -This metric does not use a logarithmically adjusted accuracy model, instead it uses the raw Burst Accuracy Coefficient. This is to reflect the increasing importance of accuracy in fights at this distance."
